price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
1020000;Flybridge;2016;as new;19,5;26000;14;4;8;2700;500;869
1100000;Flybridge;2010;as new;19,63;35000;12;4;9;3600;850;92
1249000;Motor Yacht;2016;as new;16,76;23000;12;3;6;1600;377;133
1390000;Flybridge;2018;as new;19,03;24770;16;3;6;2700;190;281
1575000;Motor Yacht;2008;good;26,48;63534;8;4;8;7500;2420;192
1700000;Motor Yacht;2011;very good;23,05;47000;8;4;8;4000;553;126
1890000;Flybridge;2019;as new;32,15;50000;12;4;8;5000;400;141
100000;Cabin Boat;2006;good;13,4;14500;10;2;5;1500;550;991
110000;Motor Yacht;2005;very good;10,82;5300;12;1;4;800;50;82
110000;Sport Boat;1999;good;13,11;12500;12;2;4;1060;1200;181
110000;Motor Yacht;1994;very good;12,62;14000;10;2;5;900;3600;192
110000;Motor Yacht;1992;very good;13;17000;12;2;4;700;4000;151
110000;Flybridge;1996;very good;14;24000;10;3;6;2000;1270;240
110000;Motor Yacht;2004;well-groomed;12,5;9000;10;2;4;850;530;171
115000;House Boat;2019;as new;10;4800;12;1;4;98;3;539
119000;Motor Yacht;2017;as new;8,74;2980;8;1;1;273;50;243
122000;Motor Yacht;2008;very good;11,85;7000;11;2;4;960;380;89
124900;Motor Yacht;2014;very good;8,3;3000;8;2;4;265;1300;255
125000;Cabin Boat;2010;very good;10,35;6100;9;2;4;600;170;83
125000;Cabin Boat;2007;good;10,67;5900;10;2;4;650;268;364
125000;Cabin Boat;2009;very good;9,45;4800;10;2;4;420;700;239
126900;Sport Boat;2020;as new;9,5;4000;6;2;6;400;19;431
129900;Motor Yacht;2000;very good;10,1;10000;10;1;2;410;1150;142
13800;Sport Boat;1983;good;6,2;1200;6;1;6;120;25;112
135000;Fishing Boat;1971;very good;20,5;120000;8;2;6;6500;480;360
135000;Cabin Boat;2009;very good;11,82;8000;12;2;4;850;250;289
137000;Motor Yacht;2005;as new;9,8;9000;10;2;5;280;385;346
139000;Motor Yacht;2005;very good;11,93;12000;8;1;3;780;490;223
139000;Cabin Boat;2013;very good;9,99;5000;8;1;2;500;595;506
139000;Motor Yacht;2006;well-groomed;12,95;14000;12;2;4;1500;380;439
